"","Monophyly","MRCA","Tips","DeltaTips","Intruders_Count","Intruders_Names","Outliers_Count","Outliers_Names"
"Struthio","Monotypic","NA","1","NA","NA","","NA",""
"Caprimulgus","Yes","80","22","0","0","","NA",""
"Chordeiles","Yes","102","5","0","0","","NA",""
"Antrostomus","No","77","8","50","0","","1","Antrostomus_sericocaudatus"
"Phalaenoptilus","Monotypic","NA","1","NA","NA","","NA",""
"Nyctiphrynus","Yes","115","4","0","0","","NA",""
"Siphonorhis","Monotypic","NA","1","NA","NA","","NA",""
"Systellura","Monotypic","NA","1","NA","NA","","NA",""
"Eleothreptus","Yes","124","2","0","0","","NA",""
"Hydropsalis","Yes","125","4","0","0","","NA",""
"Setopagis","No","120","2","9","0","","1","Setopagis_parvula"
"Uropsalis","Yes","129","2","0","0","","NA",""
"Lurocalis","Yes","131","2","0","0","","NA",""
"Nyctiprogne","Monotypic","NA","1","NA","NA","","NA",""
"Nyctidromus","Yes","133","2","0","0","","NA",""
"Nyctipolus","Monotypic","NA","1","NA","NA","","NA",""
"Gactornis","Monotypic","NA","1","NA","NA","","NA",""
"Lyncornis","Monotypic","NA","1","NA","NA","","NA",""
"Eurostopodus","Yes","134","3","0","0","","NA",""
"Nyctibius","Yes","136","7","0","0","","NA",""
